char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price,class,plate_no_length,similar_digits,sepcial_date,saudi_tribes,One Digit,Two Digits (Same),Two Digits (Different),Three Digits (Same),Three Digits (Different),Four Digits (Same),Four Digits (Different),emergency_no,in_order,reversed_order,same_middles_no,plaindromic_no,same_first_last_no,same_two_sides,one_digit_zero,one_digit_one,one_digit_two,one_digit_three,one_digit_four,one_digit_five,one_digit_six,one_digit_seven,one_digit_eight,one_digit_nine
أ ع ط,T E A,أ,ع,ط,A,E,T,248,9000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
أ ك ع,E K A,أ,ك,ع,A,K,E,5511,4000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
أ ك و,U K A,أ,ك,و,A,K,U,5552,5000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
أ ل ر,R L A,أ,ل,ر,A,L,R,2222,25000,,4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
أ ل م,Z L A,أ,ل,م,A,L,Z,8288,5000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
أ ل هـ,H L A,أ,ل,هـ,A,L,H,370,8000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
أ م ر,R Z A,أ,م,ر,A,Z,R,110,15000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
أ م ل,L Z A,أ,م,ل,A,Z,L,2,85000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
أ م ل,L Z A,أ,م,ل,A,Z,L,633,20000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
أ م ل,L Z A,أ,م,ل,A,Z,L,2989,15000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
أ م م,Z Z A,أ,م,م,A,Z,Z,1515,15000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
أ م ن,N Z A,أ,م,ن,A,Z,N,123,50000,,3,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
أ م ن,N Z A,أ,م,ن,A,Z,N,252,40000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
أ ن س,S N A,أ,ن,س,A,N,S,1884,8000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
أ ن هـ,H N A,أ,ن,هـ,A,N,H,305,30000,,3,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
أ هـ ك,K H A,أ,هـ,ك,A,H,K,2211,5000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
أ هـ م,Z H A,أ,هـ,م,A,H,Z,97,20000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
أ هـ م,Z H A,أ,هـ,م,A,H,Z,143,28000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
أ و د,D U A,أ,و,د,A,U,D,77,60000,,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
أ و س,S U A,أ,و,س,A,U,S,4,34000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
أ و س,S U A,أ,و,س,A,U,S,481,20000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
أ و ع,E U A,أ,و,ع,A,U,E,694,15000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
أ و ق,G U A,أ,و,ق,A,U,G,3070,5000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
أ و ك,K U A,أ,و,ك,A,U,K,2435,6500,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
أ و ك,K U A,أ,و,ك,A,U,K,9711,6000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
أ ى س,S V A,أ,ى,س,A,V,S,6262,10000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
أ ى ط,T V A,أ,ى,ط,A,V,T,6666,55000,,4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
ب أ ط,T A B,ب,أ,ط,B,A,T,6655,15000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ب أ ق,G A B,ب,أ,ق,B,A,G,1444,10000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
ب أ هـ,H A B,ب,أ,هـ,B,A,H,14,35000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب أ ى,V A B,ب,أ,ى,B,A,V,707,30000,,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
ب ب ب,B B B,ب,ب,ب,B,B,B,614,15000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ب ب,B B B,ب,ب,ب,B,B,B,1606,9000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ب ب,B B B,ب,ب,ب,B,B,B,2230,15000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ب ب,B B B,ب,ب,ب,B,B,B,2352,4000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ب ب ب,B B B,ب,ب,ب,B,B,B,6368,7500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ب ب,B B B,ب,ب,ب,B,B,B,8111,33000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
ب ب ب,B B B,ب,ب,ب,B,B,B,8649,7000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ب و,U B B,ب,ب,و,B,B,U,8458,5000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ب ب ى,V B B,ب,ب,ى,B,B,V,6996,10000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
ب ح ح,J J B,ب,ح,ح,B,J,J,1344,13000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ب ح ر,R J B,ب,ح,ر,B,J,R,6696,15000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ب ح ص,X J B,ب,ح,ص,B,J,X,325,12000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ح م,Z J B,ب,ح,م,B,J,Z,2,50000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
ب ح هـ,H J B,ب,ح,هـ,B,J,H,21,25000,,2,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب د ر,R D B,ب,د,ر,B,D,R,109,30000,,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب د ر,R D B,ب,د,ر,B,D,R,277,45000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ب د ر,R D B,ب,د,ر,B,D,R,979,100000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
ب د ر,R D B,ب,د,ر,B,D,R,2050,50000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب د ر,R D B,ب,د,ر,B,D,R,5550,13000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ب د ر,R D B,ب,د,ر,B,D,R,6379,5500,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب د ل,L D B,ب,د,ل,B,D,L,89,30000,,2,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ر أ,A R B,ب,ر,أ,B,R,A,4002,3000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ر ن,N R B,ب,ر,ن,B,R,N,12,16000,,2,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ر و,U R B,ب,ر,و,B,R,U,29,35000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ر و,U R B,ب,ر,و,B,R,U,9095,10000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب س س,S S B,ب,س,س,B,S,S,11,250000,,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
ب س م,Z S B,ب,س,م,B,S,Z,911,100000,,3,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ب ص أ,A X B,ب,ص,أ,B,X,A,4111,6000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
ب ص د,D X B,ب,ص,د,B,X,D,1313,30000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ص س,S X B,ب,ص,س,B,X,S,7227,2000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
ب ط ل,L T B,ب,ط,ل,B,T,L,1897,90000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ط ن,N T B,ب,ط,ن,B,T,N,7774,2500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ط و,U T B,ب,ط,و,B,T,U,91,17500,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ط ى,V T B,ب,ط,ى,B,T,V,6,22500,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ب ط ى,V T B,ب,ط,ى,B,T,V,990,15000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ب ع ح,J E B,ب,ع,ح,B,E,J,4444,15000,,4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
ب ع ط,T E B,ب,ع,ط,B,E,T,8888,15000,,4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
ب ع ق,G E B,ب,ع,ق,B,E,G,222,19500,,3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
ب ع ك,K E B,ب,ع,ك,B,E,K,38,10000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ع م,Z E B,ب,ع,م,B,E,Z,8888,9000,,4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
ب ع هـ,H E B,ب,ع,هـ,B,E,H,7107,5000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ب ع و,U E B,ب,ع,و,B,E,U,9999,11000,,4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
ب ق ل,L G B,ب,ق,ل,B,G,L,3,25000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
ب ق ن,N G B,ب,ق,ن,B,G,N,7337,15000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
ب ق و,U G B,ب,ق,و,B,G,U,333,32000,,3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
ب ك أ,A K B,ب,ك,أ,B,K,A,5003,12000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ك ر,R K B,ب,ك,ر,B,K,R,84,35000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ك ر,R K B,ب,ك,ر,B,K,R,1008,12000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ك ك,K K B,ب,ك,ك,B,K,K,8881,20000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ك ل,L K B,ب,ك,ل,B,K,L,888,27000,,3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
ب ك ل,L K B,ب,ك,ل,B,K,L,8887,3000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ل ب,B L B,ب,ل,ب,B,L,B,88,37000,,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
ب ل و,U L B,ب,ل,و,B,L,U,1,200000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
ب ل و,U L B,ب,ل,و,B,L,U,77,60000,,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
ب م ط,T Z B,ب,م,ط,B,Z,T,777,21000,,3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
ب ن ح,J N B,ب,ن,ح,B,N,J,6664,1500,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ن ق,G N B,ب,ن,ق,B,N,G,55,18000,,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
ب ن م,Z N B,ب,ن,م,B,N,Z,33,35000,,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
ب ن ى,V N B,ب,ن,ى,B,N,V,51,13000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب هـ ب,B H B,ب,هـ,ب,B,H,B,8,99000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
ب هـ هـ,H H B,ب,هـ,هـ,B,H,H,7777,80000,,4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
ب هـ ى,V H B,ب,هـ,ى,B,H,V,76,13500,,2,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب و ح,J U B,ب,و,ح,B,U,J,1714,6000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب و ق,G U B,ب,و,ق,B,U,G,7373,4000000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ب ى أ,A V B,ب,ى,أ,B,V,A,9000,12000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
ب ى م,Z V B,ب,ى,م,B,V,Z,2060,10000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ح أ د,D A J,ح,أ,د,J,A,D,1441,5000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False
ح أ ر,R A J,ح,أ,ر,J,A,R,9966,9000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ح أ ط,T A J,ح,أ,ط,J,A,T,7,33000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
ح ب د,D B J,ح,ب,د,J,B,D,777,20000,,3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
ح ب ع,E B J,ح,ب,ع,J,B,E,444,20000,,3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
ح ب ع,E B J,ح,ب,ع,J,B,E,888,17500,,3,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False
ح ب ق,G B J,ح,ب,ق,J,B,G,9444,3000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
ح ب ك,K B J,ح,ب,ك,J,B,K,4428,3000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ح ب ى,V B J,ح,ب,ى,J,B,V,1122,13000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ح ح ح,J J J,ح,ح,ح,J,J,J,16,220000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ح ح ح,J J J,ح,ح,ح,J,J,J,2226,25000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ح ح ح,J J J,ح,ح,ح,J,J,J,2244,35000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ح ح ح,J J J,ح,ح,ح,J,J,J,6572,6000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ح ح ق,G J J,ح,ح,ق,J,J,G,3333,28000,,4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
ح د ح,J D J,ح,د,ح,J,D,J,8888,60000,,4,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False
ح د ص,X D J,ح,د,ص,J,D,X,2003,8000,,4,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ح د ن,N D J,ح,د,ن,J,D,N,1115,10000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ح د هـ,H D J,ح,د,هـ,J,D,H,8808,10000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
ح ر ب,B R J,ح,ر,ب,J,R,B,700,90000,,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ح ر ب,B R J,ح,ر,ب,J,R,B,5008,20000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ح ر ب,B R J,ح,ر,ب,J,R,B,5146,5000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ح ر ب,B R J,ح,ر,ب,J,R,B,7159,5000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ح ر ب,B R J,ح,ر,ب,J,R,B,8760,4000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ح ر ب,B R J,ح,ر,ب,J,R,B,9966,30000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ح ر س,S R J,ح,ر,س,J,R,S,5050,25000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ح ر س,S R J,ح,ر,س,J,R,S,9418,3000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ح ر ع,E R J,ح,ر,ع,J,R,E,8,115000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
